"filename", "language", "JavaScript", "JSON", "Properties", "CSS", "Markdown", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HL\HL.css", "CSS", 0, 0, 0, -18, 0, 0, 0, 0, -3, -21
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HL\HomeLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -11, 0, -2, -13
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\BrowseHome\UserHome.css", "CSS", 0, 0, 0, -157, 0, 0, 0, -10, -11, -178
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\BrowseHome\UserHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -187, -4, -12, -203
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\EPEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -56, -15, -3, -74
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\HomeBody.css", "CSS", 0, 0, 0, -155, 0, 0, 0, -1, -2, -158
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\HomeBody.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -162, -4, -12, -178
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\PicForm.css", "CSS", 0, 0, 0, -21, 0, 0, 0, 0, -2, -23
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\PicForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -95, -27, -15, -137
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\Popups\EditPopUpForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -268, -36, -18, -322
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\Popups\SPEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -236, -32, -19, -287
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\Popups\ShelterEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -52, 0, -8, -60
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\Popups\ShelterPost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -141, -16, -7, -164
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\Popups\UBHPost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -141, -16, -7, -164
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\User2UserPreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -132, -7, -11, -150
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\UserPanel.css", "CSS", 0, 0, 0, -19, 0, 0, 0, 0, -3, -22
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\HomePage\UserPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -39, 0, -5, -44
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\LRForms\LRForm.css", "CSS", 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\LRForms\SLRForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -69, -12, -4, -85
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\LRForms\ULRForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -93, 0, -4, -97
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Nav\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -27, 0, -8, -35
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Nav\SNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -27, -4, -10, -41
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Nav\SPNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -27, 0, -6, -33
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Nav\css\Nav.css", "CSS", 0, 0, 0, -25, 0, 0, 0, -1, -2, -28
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Nav\css\SPNav.css", "CSS", 0, 0, 0, -25, 0, 0, 0, 0, -2, -27
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Form\ProfileForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -53, -38, -5, -96
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Form\Proform.css", "CSS", 0, 0, 0, -35, 0, 0, 0, -1, -6, -42
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\ComList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -65, 0, -8, -73
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -68, 0, -7, -75
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\Follow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -93, -2, -8, -103
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\FollowView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -124, 0, -6, -130
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\L_C_List.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -40, 0, -8, -48
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\Like.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -92, -2, -12, -106
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\Profile.css", "CSS", 0, 0, 0, -259, 0, 0, 0, -1, -4, -264
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\ProfilePreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -141, -3, -10, -154
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\ProflieBody.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -134, -4, -6, -144
